:START_ID(Author);name;:END_ID(Book)
68;B. Alspach;1
69;K. Al-Wahabi;1
70;J. Bang-Jensen;1
71;R. Bari;1
72;R. Bodendiek;1
73;J.A. Bondy;1
74;H.J. Broersma;1
75;A.E. Brouwer;1
76;S. Burr;1
77;A.G. Chetwynd;1
78;P. Erdös;1
79;G. Fan;1
80;R.J. Faudree;1
81;E. Flandrin;1
82;H. Fleischner;1
83;I. Fournier;1
84;A. Frank;1
85;A. Germa;1
86;R. Halin;1
87;J. Harant;1
88;F. Harary;1
89;H. Heesch;1
90;P. Hell;1
91;A.J.W. Hilton;1
92;B. Jackson;1
93;F. Jaeger;1
94;H.A. Jung;1
95;P. Justesen;1
96;L.K. Jørgensen;1
97;H.-G. Leimer;1
98;F. Lescure;1
99;W. Mader;1
100;J. Mayer;1
101;H. Meyniel;1
102;J. Nesetril;1
103;M.D. Plummer;1
104;O.R.L. Pretzel;1
105;C.C. Rousseau;1
106;G. Sabidussi;1
107;H. Sachs;1
108;R.H. Schelp;1
109;H. Schumacher;1
110;S. Schuster;1
111;M. Stiebitz;1
112;W.T. Trotter;1
113;H. Tverberg;1
114;D. Ullman;1
115;P.D. Vestergaard;1
116;H.-J. Voss;1
117;K. Wagner;1
118;H. Walther;1
119;W. Wessel;1
120;R.J. Wilson;1
121;P. Winkler;1
122;E. Witt;1
123;C.-Q. Zhang;1
124;S. Theodoridis;2
125;K. Koutroumbas;2
126;C. Bishop;3
127;P. Chiusano;4
128;R. Bjarnason;4