nodeId:ID(Paper);name;date;file
1;Spanning Trees with Bounded Number of Branch Vertices;2002/06/25;Spanning_Trees_with_Bounded_Number_of_Branch_Vertices_a1413c54.pdf
2;Discovering Small Target Sets in Social Networks: A Fast and Effective Algorithm;2017/10/26;Discovering_Small_Target_Sets_in_Social_Networks_a2c0626b.pdf
3;Fostering transparency and participation in the data-based society: a Sustainable Architecture for a Social Platform for Open Data;2015/11/25; 
4;Agents Shaping Networks Shaping Agents: Integrating Social Network Analysis and Agent-Based Modeling in Computational Crime Research;2017/08/09;Agents_Shaping_Networks_Shaping_Agents_4af499cb.pdf
5;Symbol-relation grammars: a formalism for graphical languages;1996/11/25;Symbol_-_Relation_Grammars_A_Formalism_for_561d1f5e.pdf
6;Dissipation and spontaneous symmetry breaking in brain dynamics;2008/07/15; 
7;Phase transitions in the neuropercolation model of neural populations with mixed local and non-local interactions;2005/05/25;Phase_transitions_in_the_neuropercolation_model_of_neural_populations_with_mixed_local_and_non-local_interactions_d7134b3e.pdf
8;Extremal graphs for weights;1999/04/06;Extremal_graphs_for_weights_3cea17b4.pdf
9;On Weakly Prefix Subsemigroups of a Free Semigroup;1979/01/01;On_Weakly_Prefix_Subsemigroups_of_a_Free_Semigroup_preview_f6d0858f.pdf
10;On the Construction of Statistically Synchronizable Codes;1992/01/01; 
11;Degree-Optimal Routing for P2P Systems;2007/10/25;Degree-Optimal_Routing_for_P2P_Systems_9d084fdc.pdf
12;Do software models based on the UML aid in source-code comprehensibility? Aggregating evidence from 12 controlled experiments;2018/02/03;Do_software_models_based_on_the_UML_aid_in_source-code_5382acac.pdf
13;A computational approach for the experimental study of EU case law: analysis and implementation;2016/12/01;A_computational_approach_for_the_experimental_study_of_EU_case_law_analysis_and_implementation_aebb1c4b.pdf
14;And what is your Erdos number?;1969/01/01;
15;Ex Machina: Analytical platforms, Law and the Challenges of Computational Legal Science;2018/04/26;futureinternet-10-00037-v2_58437db9.pdf
16;Multi indicator approach via mathematical inference for price dynamics in information fusion context;2016/12/10;
17;The rainbow spanning forest problem;2017/03/16;
18;A two-level metaheuristic for the all colors shortest path problem;2018/06/08;ATwo-levelMetaheuristicForTheA_92610ba6.pdf
19;Minimum spanning tree with conflicting edge pairs: a branch-and-cut approach;2018/05/29;