:START_ID(Paper);topic
1;Span Tree
1;Connected Graph
1;Optical Network
1;Polynomial Time
1;Algorithm
1;Longe Path 
2;Social networks
2;Information diffusions
2;Algorithms 
3;online communities
3;data-based society
3;social platform
3;open data
3;public administrations
3;citizens participation
4;Agent-based modeling
4;Social network analysis
4;Computational crime analysis 
5;Depression
5;Phase Transition
5;Noise Level
5;Collective Activity
5;Dynamical State 
9;Finite Subset
9;Semi Group
9;Free Semigroup
9;Optimal Factorization
9;Finite Case 
10;code construction
10;statistically synchronizable codes
10;arbitrary alphabets
11;Peer-to-peer
11;Overlay network
11;Greedy routing